title,website_url,source,grades_or_ages,prices_mentioned,description
Last Egret: The Adventures of Charlie Pierce,https://www.bfbooks.com/products/last-egret-the-adventures-of-charlie-pierce,Beautiful Feet Books,,$18.95,"In the late 19th century, hunters killed millions of birds in the Florida Everglades to supply the booming trade in bird feathers for ladies' fashion. As teenagers, Charlie Pierce and his friends traveled deep into the unexplored Florida Everglades to hunt plume birds for their feathers. They never imagined the challen"
Strawberry Girl,https://www.bfbooks.com/products/strawberry-girl,Beautiful Feet Books,,$6.39,"Ten-year-old Birdie Boyer has her heart set on one thing: strawberries. Big, juicy ones, grown right on her family's new farm in the Florida backwoods. But dreams don't sprout overnight, and the Boyers have a long road ahead of them. Heat, droughts, and cold snaps threaten every harvest. There's the hard work of coaxin"
A Voice For the Everglades: Marjory Stoneman Douglas,https://www.bfbooks.com/products/a-voice-for-the-everglades-marjory-stoneman-douglas,Beautiful Feet Books,,$8.99,"The Florida Everglades are made up of nine different ecosystems supporting an astonishing variety of wildlife―panthers, manatees, snails, frogs, and a rainbow of bird species. But for years, the Everglades were threatened. They needed a voice to speak up for them. Marjory Stoneman Douglas became that voice. Her book A "
The Seminoles,https://www.bfbooks.com/products/the-seminoles,Beautiful Feet Books,,$7.99,"This engaging introduction explores the history and culture of the Seminole people of Florida. Through clear explanations and vivid illustrations, readers learn about their traditions, relationship with the land, and resistance to displacement. The book offers an accessible look at Native American history."
Hurricanes!,https://www.bfbooks.com/products/hurricanes,Beautiful Feet Books,,$7.99,"This clear and engaging book explains how hurricanes form, how they move, and the powerful impact they have on coastal regions. Simple diagrams and colorful illustrations help readers understand the science behind these dramatic storms. It provides an accessible introduction to extreme weather and the forces that shape"
Turtle in Paradise,https://www.bfbooks.com/products/turtle-in-paradise,Beautiful Feet Books,,$7.99,"In Jennifer L. Holm's New York Times bestselling, Newbery Honor winning middle grade historical fiction novel, life isn't like the movies. But then again, 11-year-old Turtle is no Shirley Temple. She's smart and tough and has seen enough of the world not to expect a Hollywood ending. After all, it's 1935 and jobs and m"
90 Miles to Havana,https://www.bfbooks.com/products/90-miles-to-havana,Beautiful Feet Books,,$8.99,"When unrest hits the streets of Havana, Cuba, Julian's parents must make the heartbreaking decision to send him and his two brothers away to Miami via Operation Pedro Pan. But when the boys get to Miami, they are thrust into a world where bullies seem to run rampant and it's not always clear how best to protect themsel"
Fort Mose,https://www.bfbooks.com/products/fort-mose,Beautiful Feet Books,,$17.95,"This illustrated book tells the remarkable story of Fort Mose, the first legally recognized free Black settlement in what is now the United States. It follows the lives of formerly enslaved people who found freedom and built a community while defending their liberty. The book offers a powerful look at courage, resilien"
Far Afield 4-6 Teacher Guide (Download),https://www.bfbooks.com/products/far-afield-4-6-teacher-guide-download,Beautiful Feet Books,Grades 4-6,$42.99,"Learning Outcomes By the end of Far Afield, students in grades 4-6 will have established foundational understanding of multiple scientific disciplines. Through fieldwork, citizen science, and hands-on experiments spanning homeschool physics, chemistry, botany, ecology, zoology, and more, students will build both scient"
Gregor Mendel: The Friar Who Grew Peas,https://www.bfbooks.com/products/gregor-mendel-the-friar-who-grew-peas,Beautiful Feet Books,,$9.99,"Gregor Mendel: The Friar Who Grew Peas tells the true and inspiring story of the scientist whose curiosity changed the way we understand inheritance. Long before anyone knew about genes, Gregor Mendel asked a simple question: how do plants, animals, and people pass traits from one generation to the next? Living a quiet"
