title,website_url,source,grades_or_ages,prices_mentioned,description
Colonial America Map,https://drivethruhistory.com/product/colonial-america-map/,Drive Thru History,Middle School; High School,$19.95,"Custom designed specifically for the special edition release of “America: Columbus to the Constitution”, this new Drive Thru History map makes an awesome piece of wall art and teaching aid for your home. It includes all the major locations from the American History show, making it an excellent resource to use with your kids as they discover the places and events of the American Revolution, visually reinforcing what they’ve been learning in the DVD series."
Drive Thru History® Adventures Courses,https://drivethruhistory.com/product/drive-thru-history-adventures/,Drive Thru History,All Ages; Middle School through High School,$119.95/year All-Access (drivethruadventures.com); courses $19.90-$89.95,"Drive Thru History Adventures is our online world of courses – videos, curriculum, and resources. Learn more and join at https://www.drivethruadventures.com !"
Drive Thru History® – “Acts to Revelation” (Special Edition),https://drivethruhistory.com/product/actstorevelation/,Drive Thru History,Middle School; High School,$29.95,"Join Dave Stotts on his biggest adventure yet! He travels the Mediterranean region to share the people, places, and events that launched the Christian faith – using the book of Acts as a roadmap. 18 Episodes, 3 disks, 495 total minutes. English Subtitles."
Drive Thru History® – “America: Columbus to the Constitution” (Special Edition),https://drivethruhistory.com/product/drive-thru-history-american-history/,Drive Thru History,Middle School; High School,$19.95,"Join Dave Stotts on an adventure through early American history as he tells the stories of the people, places, and events that shaped the founding of the United States of America. 12 Episodes, 2 disks, 336 total minutes. English Subtitles."
Drive Thru History® – “Ancient: Christianity and the Birth of Western Civilization”,https://drivethruhistory.com/product/drive-thru-history-ancient-history/,Drive Thru History,Middle School; High School,$19.95,"Join Dave Stotts on an adventure through world history as he tells the stories of the people, places, and events that shaped the ancient world, and how those ancient civilizations and the Christian faith shaped Western Civilization and the world we live in today. 12 Episodes, 4 disks, 540 total minutes. This set does not contain subtitles."
Drive Thru History® – “Ends of the Earth” (Special Edition),https://drivethruhistory.com/product/ends-of-the-earth/,Drive Thru History,Middle School; High School,$29.95,"Dave Stotts chronicles the dramatic spread of Christianity from its origins in Israel to nearly every region of the world. He travels the globe to tell the 2,000-year story of how the Gospel of Jesus Christ reached the Ends of the Earth . 19 Episodes, 3 disks, 526 total minutes. English Subtitles."
Drive Thru History® – “Ends of the Earth” T-Shirt,https://drivethruhistory.com/product/drive-thru-history-ends-of-the-earth-t-shirt/,Drive Thru History,All Ages,$24.90,"While supplies last, you can purchase an “Ends of the Earth” T-Shirt! These shirts are from our limited preorder run, and won’t be reprinted. Stock is limited – once a size sells out, it’s gone for good! 100% Cotton"
Drive Thru History® – “Holy Land”,https://drivethruhistory.com/product/drive-thru-history-holy-land/,Drive Thru History,Middle School; High School,$59.90,"You and Dave will begin your adventure by taking a step between the pages of the Old Testament – back in time, before the existence of Israel – to walk alongside the Patriarchs: Abraham, Isaac, and Jacob. You’ll then slip into the shadows of the pyramids of Egypt, to behold the extraordinary miracles of Exodus. You and Dave will then take a turn into the New Testament, on a mission to follow the footsteps of Jesus Christ… 12 Episodes, 4 disks, 336 total minutes. English Subtitles."
Drive Thru History® – “The Gospels” DVD (Special Edition),https://drivethruhistory.com/product/drive-thru-history-gospels-dvd/,Drive Thru History,All Ages; Middle School through Adult,$29.95,"Dave Stotts takes us on a huge adventure to tell the story of Jesus from the actual locations recorded in the Gospels. 18 Episodes, 3 disks, 486 total minutes. English Subtitles."
