title,website_url,source,grades_or_ages,prices_mentioned,description
A Pageant of History: Ancient Times,https://simplycharlottemason.com/store/a-pageant-of-history-ancient-times/,Simply Charlotte Mason,Charlotte Mason; All Ages,$26.95 (was $29.95),"History comes to life with these family-style Charlotte Mason lessons that cover Ancient Times with living books and narration. Special intro pricing A Pageant of History: Ancient Times is part of a new curriculum for history, geography, and Bible. Special introductory pricing will be available through the release of the new curriculum. Find out more Download a sample of the teacher book. Download a sample of the Pictures and Maps book."
A Pageant of History: Early Modern,https://simplycharlottemason.com/store/a-pageant-of-history-early-modern/,Simply Charlotte Mason,Charlotte Mason; All Ages,$26.95 (was $29.95),"History comes to life with these family-style Charlotte Mason lessons that cover Early Modern times with living books and narration. Special intro pricing A Pageant of History: Early Modern is part of a new curriculum for history, geography, and Bible. Special introductory pricing will be available through the release of the new curriculum. Find out more Download a sample of the teacher book. Download a sample of the Pictures and Maps book."
A Pageant of History: Middle Ages,https://simplycharlottemason.com/store/a-pageant-of-history-middle-ages/,Simply Charlotte Mason,Charlotte Mason; All Ages,$26.95 (was $29.95),"History comes to life with these family-style Charlotte Mason lessons that cover the Middle Ages with living books and narration. Special intro pricing A Pageant of History: Middle Ages is part of a new curriculum for history, geography, and Bible. Special introductory pricing will be available through the release of the new curriculum. Find out more Download a sample of the teacher book. Download a sample of the Pictures and Maps book."
A Pageant of History: Modern Times,https://simplycharlottemason.com/store/a-pageant-of-history-modern-times/,Simply Charlotte Mason,Charlotte Mason; All Ages,$26.95 (was $29.95),"History comes to life with these family-style Charlotte Mason lessons that cover Modern Times with living books and narration. Special intro pricing A Pageant of History: Modern Times is part of a new curriculum for history, geography, and Bible. Special introductory pricing will be available through the release of the new curriculum. Find out more Download a sample of the teacher book. Download a sample of the Pictures and Maps book."
"A Philosophy of Education: Charlotte Mason’s Original Home Schooling Series, Volume 6",https://simplycharlottemason.com/store/philosophy-education-charlotte-masons-original-home-schooling-series-volume-6/,Simply Charlotte Mason,Charlotte Mason; All Ages,$11.95,"Volume 6 of Charlotte Mason’s original writings, A Philosophy of Education , explains the solid principles and practical methods of her approach that make education simple yet effective. Purchase the printed copy and receive two e-book formats free!"
A Pocketful of Pinecones,https://simplycharlottemason.com/store/pocketful-pinecones/,Simply Charlotte Mason,Charlotte Mason; All Ages,$16.95,"Pocketful of Pinecones is a kind of teacher’s guide in the form of a soothing and uplifting story. Interested in Charlotte Mason’s ideas, Carol (a 1930s homemaker) takes nature walks with her children. She guides them in creating Nature Notebooks. Throughout the four seasons she and her children observe more than 200 living things together. You will find Carol to be busy but not rushed. She loves her husband, home teaches, cooks healthy meals, and understands “make-do and mend” frugality."
A Thinking Love (free e-book),https://simplycharlottemason.com/store/a-thinking-love/,Simply Charlotte Mason,Charlotte Mason; All Ages,Free,A free e-book that explores what mothers should carefully weigh and consider if they are to give their children what Charlotte Mason called “a thinking love.”
A Young Patriot: The American Revolution as Experienced by One Boy,https://simplycharlottemason.com/store/a-young-patriot-the-american-revolution-as-experienced-by-one-boy/,Simply Charlotte Mason,Charlotte Mason; All Ages,$8.95,A Young Patriot is about a 15-year-old Connecticut farm boy who enlists in the Continental Army in 1776.
Abby Takes a Stand,https://simplycharlottemason.com/store/abby-takes-a-stand/,Simply Charlotte Mason,Charlotte Mason; All Ages,$7.95,A wonderful book that gives young students an introduction to the struggle for Civil Rights.
Abraham Lincoln,https://simplycharlottemason.com/store/abraham-lincoln/,Simply Charlotte Mason,Elementary,$15.95,A wonderful introduction to Abraham Lincoln for elementary students.
Across Five Aprils,https://simplycharlottemason.com/store/across-five-aprils/,Simply Charlotte Mason,Charlotte Mason; All Ages,$7.95,This is the story of the Civil War told from a home front in Illinois.
Adam of the Road,https://simplycharlottemason.com/store/adam-of-the-road/,Simply Charlotte Mason,Middle School,$8.95,"A historical fiction that takes place in the 1200s, giving your middle school students a look at medieval customs and occupations."
