title,website_url,source,grades_or_ages,prices_mentioned,description
Calculus Instruction Manual with DVDs,https://store.demmelearning.com/products/calculus-instruction-manual-with-dvds,Demme Learning Store,12th Grade; High School; Ages 16-18,$103.00,"The Calculus Instruction Manual with DVDs features the resources instructors need to teach this level including the Instruction Manual and Instructional lesson videos on a DVD. In this level, you and your student will discover high-level ma"
Calculus Student Workbook and Tests,https://store.demmelearning.com/products/calculus-student-workbook-and-tests,Demme Learning Store,12th Grade; High School; Ages 16-18,$48.00,"Equip your student with the Calculus learning materials they need to take their education to the next level. The Calculus Student Workbook and Tests features just the student resources, including the Student Workbook and Tests booklet. In t"
Delta DVD,https://store.demmelearning.com/products/delta-dvd,Demme Learning Store,4th Grade; Ages 9-10,$34.00,"The Delta DVD features the videos instructors need to teach this level. Confidently explore single and multiple-digit division with these division learning materials designed to encourage mastery of place value, division facts, and long div"
Delta Instruction Manual,https://store.demmelearning.com/products/delta-instruction-manual,Demme Learning Store,4th Grade; Ages 9-10,$39.60,"The Delta Instruction Manual includes the resources instructors need to teach this level. Confidently explore single and multiple-digit division with these division learning materials designed to encourage mastery of place value, division f"
Delta Set,https://store.demmelearning.com/products/delta-set,Demme Learning Store,4th Grade; Ages 9-10,$222.55,"Empower your student with this comprehensive set designed to provide everything you need to get started in the Delta level of Math-U-See. The Delta Universal Set comes complete with every component necessary for success, including Instructi"
Delta Student Workbook and Tests,https://store.demmelearning.com/products/delta-student-workbook-and-tests,Demme Learning Store,4th Grade; Ages 9-10,$48.00,"Equip your student with the Delta materials they need to take their learning to the next level. The Delta Student Workbook and Tests features just the student resources, including the Student Workbook and Tests booklet. Confidently explore "
Epsilon DVD,https://store.demmelearning.com/products/epsilon-dvd,Demme Learning Store,5th Grade; Ages 10-11,$34.00,"The Epsilon DVD features the videos instructors need to teach this level. In this level, you and your student will explore basic operations with fractions using the Fraction Overlay manipulatives. Enjoy learning fractions and concepts like "
Epsilon Instruction Manual,https://store.demmelearning.com/products/epsilon-instruction-manual,Demme Learning Store,5th Grade; Ages 10-11,$39.60,"The Epsilon Instruction Manual includes the resources instructors need to teach this level. In this level, you and your student will explore basic operations with fractions using the Fraction Overlay manipulatives. Enjoy learning fractions "
Epsilon Set,https://store.demmelearning.com/products/epsilon-set,Demme Learning Store,5th Grade; Ages 10-11,$192.58,"Empower your student with this comprehensive set designed to provide everything you need to get started in the Epsilon level of Math-U-See. The Epsilon Set comes complete with every component necessary for success, including Instruction Man"
Epsilon Student Workbook and Tests,https://store.demmelearning.com/products/epsilon-student-workbook-and-tests,Demme Learning Store,5th Grade; Ages 10-11,$48.00,"Equip your student with the Epsilon materials they need to take their learning to the next level. The Epsilon Student Workbook and Tests features just the student resources, including the Student Workbook and Tests booklet. In this level, y"
Fraction Overlays,https://store.demmelearning.com/products/fraction-overlays-expanded-pack,Demme Learning Store,5th Grade; Ages 10-11,$48.60,"Experience the joy of math with the Fraction Overlays. This 79-piece set helps students visualize abstract concepts and create mental images that serve as a bridge to mastery. Deepen understanding, increase retention, and make math more int"
Gamma DVD,https://store.demmelearning.com/products/gamma-dvd,Demme Learning Store,3rd Grade; Ages 8-9,$34.00,"The Gamma DVD features the videos instructors need to teach this level. In this level, you and your student will confidently explore multiplication. Gain fluency in single-digit facts and develop multiple-digit multiplication skills with th"
Gamma Instruction Manual,https://store.demmelearning.com/products/gamma-instruction-manual,Demme Learning Store,3rd Grade; Ages 8-9,$36.90,"The Gamma Instruction Manual includes the resources instructors need to teach this level. In this level, you and your student will confidently explore multiplication. Gain fluency in single-digit facts and develop multiple-digit multiplicat"
Gamma Set,https://store.demmelearning.com/products/gamma-set,Demme Learning Store,3rd Grade; Ages 8-9,$220.12,"Empower your student with this comprehensive set designed to provide everything you need to get started in the Gamma level of Math-U-See. The Gamma Set comes complete with every component necessary for success, including Instruction Manual,"
Gamma Student Workbook and Tests,https://store.demmelearning.com/products/gamma-student-workbook-and-tests,Demme Learning Store,3rd Grade; Ages 8-9,$48.00,"Equip your student with the Gamma materials they need to take their learning to the next level. The Gamma Student Workbook and Tests features just the student resources, including the Student Workbook and Tests booklet. In this level, you a"
Geometry DVDs,https://store.demmelearning.com/products/geometry-dvds,Demme Learning Store,9th Grade; 10th Grade; High School,$52.00,"The Geometry DVDs feature the videos instructors need to teach this level. In this level, you and your student will confidently explore lines, angles, area, perimeter, the Pythagorean theorem, and more to achieve a solid grasp of the vocabu"
