title,website_url,source,grades_or_ages,prices_mentioned,description
Torchlight Curriculum,https://torchlightcurriculum.com,Torchlight Curriculum,Grades PreK-5,Contact for pricing,Literature-rich secular homeschool curriculum with multi-subject integration.
Torchlight-Level Pre-K,https://torchlightcurriculum.com/torchlight/torchlight-level-pre-k/,Torchlight Curriculum,Pre-K; K; Ages 4-5,$1.75-$61.03,"Level Pre K: Curiosity & Character Welcome to Torchlight’s Level Pre-K, a curriculum created for learners ages 4-5. Pre-K is the time to develop curiosi ..."
Torchlight Level K,https://torchlightcurriculum.com/torchlight/level-k/,Torchlight Curriculum,K; Ages 5-7,$1.36-$85.30,"Level K: Worldy Wisdom Welcome to Torchlight’s Level K, curriculum created for learners ages 5-7. However, you may find these learning plans flexible enough ..."
Torchlight - Level 1,https://torchlightcurriculum.com/torchlight/torchlight-level-1/,Torchlight Curriculum,Ages 6-9,$5.13-$73.65,"Level 1 Edition 2: Myth & Magic Torchlight’s Level 1 curriculum for learners ages 6-9 is entitled Myth & Magic. In Level 1, a large focus of our lit ..."
Torchlight - Level 2,https://torchlightcurriculum.com/torchlight/torchlight-level-2/,Torchlight Curriculum,Ages 7-11,$5.68-$39.00,"Torchlight’s Level 2, Edition 2 curriculum for learners ages 7-11 is titled Logic & Legend. In Level 2, we will become acquainted with the medieval worl ..."
Torchlight - Level 3,https://torchlightcurriculum.com/torchlight/torchlight-level-3/,Torchlight Curriculum,Ages 8-12,$2.37-$57.00,Torchlight’s Level 3 curriculum for learners ages 8-12 is entitled Innovation & Inquiry. In Level 3 we are moving into the early modern era where we see ...
Torchlight - Level 4,https://torchlightcurriculum.com/torchlight/torchlight-level-4/,Torchlight Curriculum,Ages 9-13,$4.43-$53.58,"Torchlight’s Level 4 curriculum for learners ages 9-13 is titled Ideas & Identity. In Level 4, we arrive in the modern era. We have seen people strive a ..."
Torchlight - Level 5,https://torchlightcurriculum.com/torchlight/torchlight-level-5/,Torchlight Curriculum,Ages 10-14,$5.49-$23.06,"Torchlight’s Level 5 curriculum for learners ages 10-14 is titled Equity & Ethics. In Level 5, we take a short, diverted path from a heavy history focus ..."
Torchlight Level Placement,https://torchlightcurriculum.com/torchlight/levelplacement/,Torchlight Curriculum,Grades PreK-5,Contact for pricing,"*If combining learners, we recommend using your youngest learner as the primary learner for this quiz."
