title,website_url,source,grades_or_ages,prices_mentioned,description
History Through the Ages—Printable Timeline Figures “Creation to Christ” (PDF),https://themysteryofhistory.com/product/history-through-the-ages-timeline-figures-creation-to-christ-pdf/,The Mystery of History,Grades 1-5; Volume I (Creation to A.D. 33),$22.95,"“Creation to Christ” offers 100+ hand drawn historical figures to match each and every lesson of The Mystery of History Volume I (all editions.) These beautiful printable figures can be added to walls, notebooks, lap books, or merged with Memory Cards. (See licensing options below.)"
History Through the Ages—Printable Timeline Figures “Resurrection to Revolution” (PDF),https://themysteryofhistory.com/product/history-through-the-ages-timeline-figures-resurrection-to-revolution-pdf/,The Mystery of History,Grades 1-5; Volume I (Creation to A.D. 33); Grades 6-8; Volume II (The Early Church to the Renaissance),$22.95,"“Resurrection to Revolution” offers 100+ hand-drawn historical figures to match each and every lesson of The Mystery of History Volume II (all editions.) These beautiful figures can be added to walls, notebooks, lap books, or merged with Memory Cards. (See licensing options below.)"
History Through the Ages—Printable Timeline Figures “To Accompany The Mystery of History Volume III” (PDF),https://themysteryofhistory.com/product/history-through-the-ages-volume-iii-timeline-figures-pdf/,The Mystery of History,Grades 1-5; Volume I (Creation to A.D. 33); Grades 6-8; Volume II (The Early Church to the Renaissance); Grades 9-11; Volume III (The Renaissance to the Age of Industry),$12.95,"History Through the Ages offers 100+ hand drawn historical figures to match each and every lesson of The Mystery of History Volume III. These printable beautiful figures can be added to walls, notebooks, lap books, or merged with Memory Cards. (See licensing options below.)"
History Through the Ages—Printable Timeline Figures “To Accompany The Mystery of History Volume IV” (PDF),https://themysteryofhistory.com/product/history-through-the-ages-timeline-figures-volume-iv-pdf/,The Mystery of History,Grades 1-5; Volume I (Creation to A.D. 33); Grades 10-12; Volume IV (Wars of Independence to Modern Times),$22.95,"History Through the Ages offers 100+ hand drawn historical figures to match each and every lesson of The Mystery of History Volume IV. These beautiful printable figures can be added to walls, notebooks, lap books, or merged with Memory Cards. (See licensing options below.)"
History Through the Ages—Printable “Essential Timeline Library” (PDF),https://themysteryofhistory.com/product/history-through-the-ages-printable-essential-timeline-library-pdf/,The Mystery of History,All Ages; K-12 World History,$109.95,"Looking for all our timeline materials—streamlined into one money-saving bundle? This is it! The “Essential Timeline Library” offers over 1,000 timeline figures—plus a printable History Through the Ages Timeline Notebook and Suggested Placement Guide . (See licensing options below.)"
History Through the Ages—Printable “Master Collection of Timeline Figures” (PDF),https://themysteryofhistory.com/product/history-through-the-ages-printable-master-collection-of-timeline-figures-pdf/,The Mystery of History,All Ages; K-12 World History,$84.95,Looking for premade timeline figures? This “Master Collection of Timeline Figures” PDF offers hundreds of digital figures that match all of our volumes. (This purchase includes a FREE chart lining up all timeline figures with our curriculum. See licensing options below.)
History Through the Ages—Printable “Record of Time” Timeline Notebook (PDF),https://themysteryofhistory.com/product/history-through-the-ages-printable-record-of-time-timeline-notebook-pdf/,The Mystery of History,All Ages,$14.95,"Students of all ages (but particularly middle and older), may want to consider this beautiful, printable “Record of Time” timeline notebook designed to store timeline figures—and help students connect the dots in world history."
King Arthur Bundle,https://themysteryofhistory.com/product/king-arthur-bundle/,The Mystery of History,All Ages; K-12 World History,$27.95 (was $32.85),"If you’d like a unit study to deep dive into the attributes of King Arthur, look no further than our “King Arthur Bundle.” This money-saving bundle (a 15% discount) offers Legends of King Arthur and His Court* (a paperback reader revised by Shelley Noonan); a matching audiobook with music and sound effects (narrated by Linda Lacour Hobar); and “Lessons of King Arthur and His Court” (a paperback study guide by Jacob Noonan.) This purchase comes with a free digital Bible study, “Legacy of King Arthur and His Court” by Shelley Noonan—who explores ten godly character traits that the knights sought and struggled to uphold. Each chapter offers meaty discussion questions, Biblical truths with application, and memory verses. Need additional study guides for multiple students? You can buy them individually here."
Legend of King Arthur and His Court Audiobook (MP3),https://themysteryofhistory.com/product/king-arthur-audiobook/,The Mystery of History,All Ages,$10.95,"Whether man or myth, King Arthur epitomizes a hero who wants to make right that which is wrong! Now, you can enjoy “Legends of King Arthur and His Court” through the voice of Linda Lacour Hobar, author and narrator of The Mystery of History. This 2-hour, 10-minute audiobook features beautifully moving thematic music and cinematic sound effects to engage students of all ages. Listen to a sample below! (Want the book to match or a study guide? What about a Bundle? Scroll down for all these options!)"
"Legends of King Arthur and His Court, revised by Shelley Noonan",https://themysteryofhistory.com/product/legends-of-king-arthur-and-his-court-book/,The Mystery of History,All Ages; K-12 World History,$11.95,"Discover the world of kings, knights, and adventure! “These stories of King Arthur are retold in the faith that chivalry in its highest sense is not dead among us; and that as long as Christian manhood survives, so will chivalric instinct be an important factor in it.” (Francis Nimmo Greene). Throughout the pages of this book, readers will follow Arthur from his birth to the fall of his beloved Camelot. Whether man or myth, Arthur epitomizes good fighting against evil, light battling against darkness, and a hero who wants to make right that which is wrong! (92 pages). This purchase comes with a free digital Bible study, “Legacy of King Arthur and His Court” by Shelley Noonan—who explores ten godly character traits that the knights sought and struggled to uphold. Each chapter offers meaty discussion questions, Biblical truths with application, and memory verses. Want a matching audiobook narrated by Linda Lacour Hobar? We made it! Want a paperback study guide to go along? We have it! Want our King Arthur Bundle to save 15%? We have that, too!"
